,ratio1,ratio2,ratio3,ratio4,ratio5,status
1674,1.12,0.77,-0.03,-0.2,0.03,0
1675,1.65,1.65,0.16,0.44,0.13,0
1676,2.86,1.78,0.05,0.05,0.04,0
1677,2.82,2.76,0.11,0.14,0.11,0
1678,1.03,0.79,0.07,0.15,0.06,0
1679,2.16,2.14,-0.02,-0.11,-0.03,0
1680,0.96,0.91,-0.03,-0.18,0.05,0
1681,1.22,1.22,0.02,0.05,0.02,0
1682,1.95,1.95,0.36,0.71,0.26,0
1683,0.1,0.1,-0.79,-0.39,-0.66,1
1684,2.24,1.86,0.01,-0.02,0.01,0
1685,1.04,1.04,0.04,0.03,0.56,0
1686,0.99,0.97,0.12,0.55,0.08,1
1687,2.16,0.33,0.05,0.06,0.06,0
1688,1.35,0.84,0.07,0.2,0.03,0
1689,0.93,0.91,0.05,0.13,0.06,0
1690,1.94,1.08,0.04,0.11,0.06,0
1691,0.9,0.9,-0.12,-1.22,-0.18,1
1692,3.03,1.61,0.0,0.0,0.11,0
1693,1.69,1.69,0.16,0.41,0.05,0
1694,0.95,0.42,-0.02,-0.3,0.01,0
1695,1.54,0.83,-0.01,-0.74,0.07,0
1696,0.6,0.27,-0.51,-1.12,-0.27,1
1697,1.03,1.03,0.02,0.22,0.01,0
1698,1.6,1.08,0.08,0.11,0.04,0
1699,0.9,0.76,0.04,0.1,0.07,0
1700,0.95,0.95,0.0,-0.15,-0.01,1
1701,0.96,0.54,-0.17,0.41,-0.11,1
1702,1.73,0.69,0.02,0.02,0.03,1
1703,0.71,0.71,-0.13,-1.18,-0.1,1
1704,3.38,0.54,0.06,0.09,0.06,0
1705,1.34,0.12,-0.03,-0.44,-0.01,0
1706,1.81,1.44,0.0,-0.18,0.02,0
1707,1.58,1.48,0.13,0.16,0.14,0
1708,1.68,0.87,-0.1,-0.34,-0.04,0
1709,2.16,2.16,0.38,0.95,0.15,0
1710,1.25,0.86,0.07,0.18,0.06,0
1711,3.97,2.82,0.12,0.21,0.16,0
1712,0.74,0.54,-0.01,-1.01,0.02,1
1713,0.13,0.13,-0.09,-3.63,-0.05,1
1714,1.4,0.69,0.08,0.38,0.08,0
1715,0.32,0.3,0.03,0.4,0.34,0
1716,0.91,0.91,0.01,-0.02,0.02,1
1717,1.07,1.07,0.12,-3.48,0.08,0
1718,1.09,1.04,0.12,0.68,0.04,0
1719,1.42,1.39,0.09,0.29,0.12,0
1720,4.77,4.77,0.12,0.14,0.18,0
1721,1.11,1.11,0.05,0.09,0.02,0
1722,1.56,0.82,0.01,0.01,0.01,0
1723,1.28,1.28,0.08,0.15,0.09,0
1724,2.66,2.21,0.09,0.14,0.11,0
1725,0.76,0.76,0.02,0.04,0.12,0
1726,1.6,1.6,0.08,0.17,0.05,0
1727,1.31,1.01,0.01,0.22,0.01,0
1728,0.64,0.32,-0.07,-1.46,-0.01,0
1729,5.33,5.25,0.04,0.03,0.16,0
1730,1.02,0.97,-0.03,-1.43,-0.02,0
1731,1.56,1.5,0.08,0.13,0.07,0
1732,0.69,0.1,0.02,0.01,0.09,0
1733,1.4,0.97,0.32,0.63,0.19,0
1734,0.93,0.53,0.02,0.0,0.03,0
1735,0.11,0.1,-0.01,-0.03,0.21,1
1736,1.43,0.9,0.14,0.31,0.07,0
1737,0.71,0.71,0.07,0.36,0.17,0
1738,1.29,1.22,0.04,0.19,0.06,0
1739,0.28,0.27,0.09,0.25,0.15,0
1740,0.36,0.35,0.09,0.15,0.19,0
1741,2.48,2.48,0.05,0.13,0.06,0
1742,1.17,1.17,0.07,0.19,0.05,0
1743,1.01,0.92,-0.03,-0.57,-0.01,1
1744,1.09,0.87,0.04,0.07,0.05,0
1745,1.06,0.93,0.04,0.05,0.07,0
1746,1.6,1.56,0.02,0.03,0.02,0
1747,1.48,0.55,0.01,0.02,0.1,0
1748,1.86,1.86,0.09,0.26,0.06,0
1749,6.48,3.75,-0.01,-0.02,0.0,0
1750,1.82,1.51,0.07,0.08,0.05,0
1751,1.09,0.84,0.06,0.48,0.03,0
1752,1.82,1.37,0.04,0.02,0.02,0
1753,1.07,1.05,0.02,0.01,0.04,0
1754,3.1,1.01,0.01,0.0,0.04,0
1755,1.49,0.97,0.03,0.04,0.1,0
1756,4.2,2.0,0.0,-0.01,0.15,0
1757,1.75,1.75,0.05,0.12,0.08,0
1758,1.47,0.37,-0.02,-0.24,-0.02,0
1759,1.37,0.92,0.01,0.01,0.01,0
1760,1.18,1.18,-0.02,-1.59,0.02,0
