,ratio1,ratio2,ratio3,ratio4,ratio5,status
2077,1.11,0.86,0.07,0.29,0.07,0
2078,2.09,1.83,0.04,0.04,0.05,0
2079,0.54,0.4,0.03,0.09,0.13,0
2080,1.76,1.7,0.03,0.08,0.05,0
2081,1.25,1.12,0.12,0.32,0.11,0
2082,1.4,1.38,0.16,0.74,0.14,0
2083,1.91,1.7,0.1,0.19,0.13,0
2084,1.17,0.75,0.02,0.03,0.04,0
2085,0.73,0.72,0.04,0.11,0.14,0
2086,1.03,0.8,0.05,0.15,0.05,0
2087,1.11,0.28,0.02,0.03,0.02,0
2088,0.84,0.65,-0.01,-0.34,0.02,0
2089,0.92,0.88,0.1,0.37,0.38,0
2090,0.96,0.54,0.02,0.12,0.13,0
2091,0.87,0.65,0.02,0.06,0.02,0
2092,1.26,1.08,0.09,0.22,0.12,0
2093,0.61,0.61,-0.12,-1.59,-0.02,0
2094,0.73,0.73,-0.11,-1.13,-0.45,1
2095,4.84,4.82,0.04,0.04,0.12,0
2096,1.49,1.18,0.07,0.03,0.05,0
2097,0.85,0.67,0.07,0.54,0.11,0
2098,0.78,0.78,0.04,0.16,0.02,1
2099,3.03,2.0,0.07,0.07,0.11,0
2100,1.56,0.41,0.07,0.13,0.03,0
2101,2.63,1.68,0.06,0.08,0.14,0
2102,0.97,0.97,-0.03,-3.05,-0.06,0
2103,0.72,0.72,0.09,0.1,0.18,0
2104,0.89,0.53,-0.03,-0.09,-0.05,0
2105,0.51,0.34,0.01,0.03,0.09,0
2106,0.57,0.57,0.06,0.07,0.53,0
2107,5.79,2.51,0.04,0.07,0.17,0
2108,1.17,1.17,0.02,0.1,0.04,0
2109,2.54,1.96,0.11,0.23,0.13,0
2110,0.98,0.98,0.06,0.1,0.17,0
2111,1.45,1.02,0.02,0.01,0.08,0
2112,1.31,1.28,0.02,0.0,0.2,0
2113,4.22,4.19,0.05,0.2,0.21,0
2114,3.59,3.59,0.49,0.56,0.37,0
2115,1.05,0.68,0.02,0.03,0.04,0
2116,0.38,0.28,-0.21,-0.47,-0.15,1
2117,0.94,0.62,0.07,0.12,0.14,0
2118,6.51,6.51,0.09,0.11,0.22,0
2119,1.98,1.4,0.05,0.07,0.05,0
2120,0.58,0.58,-0.12,-1.05,-0.14,1
2121,1.0,0.86,0.0,0.0,0.0,0
2122,1.8,1.8,0.19,0.91,0.3,0
2123,0.89,0.55,0.04,0.5,0.04,0
2124,1.22,1.22,0.05,0.05,0.06,1
2125,1.1,1.01,0.03,0.08,0.02,0
2126,0.73,0.73,0.09,0.68,0.08,0
2127,1.7,1.7,0.33,0.69,0.22,0
2128,0.86,0.85,-0.29,-1.17,-0.36,1
2129,1.09,0.0,0.0,0.11,0.03,0
2130,1.27,1.05,0.13,0.19,0.13,0
2131,1.27,1.07,0.31,0.72,0.19,0
2132,1.21,1.14,0.04,-0.28,0.05,0
2133,4.47,1.29,0.03,0.01,0.07,0
2134,0.25,0.22,0.01,-0.08,0.16,0
2135,1.25,1.12,0.03,0.12,0.02,0
2136,1.82,0.48,0.01,0.0,0.08,0
2137,0.41,0.02,0.03,0.01,0.13,0
2138,1.88,1.76,0.43,0.6,0.33,0
2139,1.08,1.08,0.08,0.5,0.06,0
2140,1.52,1.46,0.03,-0.28,0.07,0
2141,1.22,0.73,0.02,0.01,0.05,0
2142,0.73,0.58,0.09,0.44,0.06,0
2143,3.41,3.37,0.1,0.09,0.31,0
2144,1.26,1.25,0.01,0.01,0.01,0
2145,1.64,1.24,0.01,-0.08,0.0,0
2146,1.46,1.01,-0.05,-0.59,0.03,0
2147,1.11,1.04,-0.08,-2.22,-0.17,1
2148,2.62,2.19,0.04,0.07,0.04,0
2149,1.47,0.86,0.08,0.21,0.06,0
2150,1.49,1.17,0.05,0.23,0.07,0
2151,1.02,0.41,0.02,0.12,0.08,0
2152,0.33,0.32,0.01,0.01,0.08,0
2153,0.85,0.71,-0.28,-3.75,-0.29,1
2154,1.42,1.0,0.01,-0.01,0.02,0
2155,0.56,0.47,-0.25,-1.33,-0.29,0
2156,1.99,1.73,0.12,0.19,0.1,0
2157,1.2,1.19,-0.02,-0.02,0.03,0
2158,1.01,0.87,0.0,0.0,0.19,0
2159,1.14,0.45,0.02,0.03,0.01,0
2160,1.35,1.13,0.06,0.12,0.06,0
2161,3.97,0.37,0.01,0.02,0.03,0
2162,1.9,1.64,0.12,0.18,0.12,0
2163,10.97,2.77,0.0,0.0,0.13,0
2164,1.07,0.53,0.1,0.53,0.07,0
2165,0.57,0.39,-0.01,-0.7,0.05,1
2166,0.9,0.69,0.06,0.09,0.15,0
2167,1.53,1.53,0.11,0.29,0.15,0
2168,1.6,0.96,0.08,0.59,0.07,0
2169,2.18,2.1,0.02,0.0,0.01,0
2170,0.93,0.89,0.04,0.11,0.06,0
2171,0.79,0.65,0.01,-0.77,0.04,0
2172,1.57,0.6,0.05,0.29,0.06,0
2173,2.32,0.82,0.11,0.18,0.08,0
2174,1.36,1.0,0.04,0.07,0.06,0
2175,0.56,0.33,0.01,0.0,0.05,0
2176,3.16,2.04,0.02,0.09,0.07,0
2177,1.16,1.12,0.05,0.31,0.04,0
2178,1.31,1.21,0.14,0.92,0.16,0
2179,1.29,1.29,-0.07,-2.13,-0.07,0
2180,1.25,1.21,0.06,0.22,0.04,0
2181,3.68,3.66,0.25,0.26,0.34,0
2182,1.32,1.31,0.11,0.35,0.17,0
2183,1.0,1.0,0.04,0.12,0.11,0
2184,0.66,0.55,0.05,0.08,0.05,1
2185,3.47,1.94,0.03,0.02,0.05,0
2186,1.44,1.44,0.02,0.01,0.04,0
2187,1.67,1.54,0.15,0.59,0.15,0
2188,1.02,0.91,0.05,0.08,0.03,1
2189,0.94,0.69,0.09,0.1,0.15,0
2190,0.75,0.75,0.02,-0.01,0.1,1
2191,4.01,3.49,0.12,0.12,0.2,0
2192,1.5,1.47,0.15,0.21,0.11,0
2193,1.11,0.9,0.19,0.73,0.09,0
2194,1.78,1.76,0.09,0.2,0.1,0
2195,1.89,1.56,0.15,0.57,0.18,0
2196,1.51,1.49,0.05,0.14,0.01,0
2197,1.1,1.09,0.03,0.14,0.02,0
2198,3.2,2.8,0.02,0.02,0.03,0
2199,1.1,1.1,0.06,0.24,0.03,0
2200,0.83,0.64,0.09,0.41,0.06,0
2201,1.04,0.84,0.01,0.4,0.02,0
2202,1.77,1.2,-0.01,-0.45,0.03,0
2203,2.56,2.54,0.22,0.34,0.15,0
2204,0.66,0.66,0.02,0.04,0.18,0
2205,1.39,1.39,0.29,0.63,0.21,0
2206,0.87,0.6,-0.01,-0.3,0.01,0
2207,1.35,0.67,-0.02,-0.07,0.02,0
2208,1.78,1.64,0.01,-0.01,0.01,0
2209,1.01,0.99,0.05,0.11,0.06,1
2210,1.04,1.04,-0.04,-6.39,-0.02,0
2211,1.01,0.94,0.05,0.18,0.07,0
2212,1.2,0.43,0.02,0.05,0.03,0
2213,2.0,0.44,0.06,0.28,0.06,0
2214,1.14,0.59,0.06,0.09,0.08,0
2215,1.46,1.18,0.09,0.21,0.1,1
2216,0.17,0.16,-0.17,-0.43,-0.09,0
2217,1.08,0.83,0.13,0.34,0.72,0
2218,1.68,1.35,-0.12,-2.04,-0.02,0
2219,1.18,1.17,0.04,0.1,0.08,0
2220,1.35,0.82,0.05,0.27,0.04,0
2221,0.75,0.75,0.07,0.43,0.01,0
2222,1.07,0.82,0.04,0.14,0.05,0
2223,4.04,3.66,-0.1,-0.15,-0.08,0
2224,0.95,0.8,0.0,0.01,0.01,0
2225,3.73,3.73,0.12,0.13,0.22,0
2226,2.56,2.56,0.17,0.22,0.15,0
2227,1.19,1.19,0.02,0.01,0.6,0
2228,0.76,0.61,0.07,0.26,0.07,0
2229,1.95,1.88,0.22,0.45,0.19,0
2230,1.54,0.9,0.06,0.23,0.04,0
2231,0.94,0.61,0.06,0.11,0.05,0
2232,0.76,0.76,0.08,0.16,0.3,0
2233,1.05,0.83,0.01,-2.2,0.01,0
2234,0.92,0.62,0.04,0.04,0.03,0
2235,1.06,1.06,-0.16,-0.77,-0.01,0
2236,6.5,6.5,0.07,0.59,0.51,0
2237,2.34,1.54,0.2,0.23,0.23,0
2238,0.86,0.7,-0.04,-0.97,-0.1,0
2239,2.68,2.61,0.07,0.11,0.09,0
2240,0.91,0.91,-0.16,-1.44,-0.09,0
2241,4.57,4.57,0.03,0.1,0.16,0
2242,0.87,0.45,0.01,0.24,0.06,1
2243,1.23,0.26,0.03,0.16,0.03,0
2244,0.34,0.34,0.02,0.24,0.25,0
2245,1.09,1.09,0.02,0.09,0.01,0
2246,1.44,0.02,0.03,0.0,0.1,1
2247,1.17,0.6,0.01,-0.4,0.03,0
2248,1.14,0.89,0.05,0.26,0.04,0
2249,1.34,1.34,0.04,0.14,0.12,0
2250,0.41,0.27,-0.03,-0.09,-0.08,1
2251,1.93,1.93,0.23,0.27,0.11,0
2252,1.66,1.65,0.25,0.52,0.26,0
2253,2.35,2.24,0.03,0.07,0.02,0
2254,1.14,1.14,0.03,0.11,0.04,0
2255,0.09,0.09,0.05,0.05,0.76,0
2256,1.1,0.82,0.06,0.22,0.06,0
2257,0.85,0.79,0.04,0.7,0.11,1
2258,1.87,1.87,0.0,-0.01,-0.01,0
2259,2.23,2.23,0.26,0.29,0.18,0
2260,1.82,1.78,0.09,0.12,0.04,0
2261,1.75,1.72,0.12,0.26,0.18,0
2262,0.99,0.99,0.01,0.07,0.05,0
2263,0.86,0.81,0.02,-0.2,0.05,0
2264,1.17,1.12,0.01,0.02,0.01,0
2265,1.14,0.95,0.02,0.04,0.02,0
2266,0.77,0.77,0.07,0.14,0.09,0
2267,0.83,0.73,-0.78,-2.26,-0.89,1
2268,1.12,1.08,-0.03,-0.67,0.04,0
2269,1.0,1.0,0.01,0.02,0.21,0
2270,0.85,0.72,0.02,0.01,0.06,0
2271,1.06,0.52,0.07,0.03,0.07,0
2272,1.98,1.94,0.01,0.02,0.02,0
2273,0.73,0.49,0.04,0.13,0.07,0
2274,1.43,1.13,0.07,0.29,0.03,0
2275,1.1,1.0,0.03,0.06,0.02,0
2276,1.18,1.02,0.02,0.08,0.02,1
2277,1.22,0.44,0.11,0.21,0.1,0
2278,1.32,1.2,0.01,0.01,0.02,0
2279,0.68,0.68,0.05,0.42,0.07,0
2280,0.7,0.46,-0.32,-1.2,-0.18,1
2281,1.26,1.25,0.06,0.14,0.42,0
2282,1.11,0.88,0.09,0.21,0.1,0
2283,2.22,2.18,0.01,0.0,0.05,0
2284,1.14,0.69,0.05,0.38,0.04,0
2285,1.25,1.25,0.01,0.0,0.74,0
2286,0.89,0.69,0.05,0.05,0.12,0
2287,0.77,0.73,0.34,0.39,0.29,0
2288,0.43,0.34,0.03,0.05,0.11,0
2289,1.21,1.21,0.05,0.04,0.28,0
2290,0.18,0.18,-0.94,-0.3,-0.16,0
2291,0.73,0.73,0.31,-0.77,0.31,0
2292,2.85,2.43,0.17,0.29,0.05,0
2293,3.3,3.3,0.14,0.17,0.08,0
2294,1.05,0.75,0.04,0.03,0.04,0
2295,1.01,0.53,-0.09,-2.78,-0.1,1
2296,0.89,0.89,-0.06,-0.35,-0.03,0
2297,1.01,1.01,-0.76,-1.11,-0.45,1
2298,0.75,0.75,0.0,-0.04,0.2,0
2299,1.0,1.0,0.02,0.08,0.78,0
2300,0.48,0.48,0.26,0.36,0.68,0
2301,1.08,0.62,0.01,0.1,0.01,0
2302,1.46,1.16,0.05,0.29,0.03,1
2303,0.91,0.91,0.02,0.0,0.02,0
2304,1.56,1.52,0.01,0.0,0.63,1
2305,0.43,0.43,-0.05,-0.76,-0.14,0
2306,0.27,0.27,0.05,0.05,0.78,0
2307,0.82,0.5,0.04,0.06,0.07,0
2308,2.23,1.69,0.04,0.07,0.04,0
2309,2.81,1.22,0.1,0.19,0.11,0
2310,1.09,1.09,-0.21,-2.81,-0.07,0
2311,0.56,0.55,0.02,0.0,0.1,0
2312,0.72,0.72,0.17,0.26,0.24,1
2313,1.03,0.73,-0.12,-2.01,-0.03,0
2314,0.94,0.94,0.05,0.07,0.15,0
2315,1.48,0.85,0.14,0.48,0.11,0
2316,1.26,0.27,0.03,0.14,0.03,0
2317,1.58,1.58,0.03,0.03,0.22,0
2318,1.25,0.43,0.06,0.19,0.06,0
2319,1.76,1.6,0.04,0.08,0.07,0
2320,3.82,1.67,0.02,0.02,0.12,0
2321,3.68,3.68,-0.1,-1.17,-0.11,0
2322,1.09,0.97,0.04,0.22,0.09,0
2323,1.48,0.91,0.01,0.03,0.03,0
2324,0.75,0.47,0.01,0.11,0.02,1
2325,0.86,0.86,-0.21,-1.05,-0.31,1
2326,0.69,0.69,0.01,0.11,0.04,0
2327,2.28,1.57,0.06,0.0,0.16,1
2328,0.75,0.67,-0.27,-1.19,-0.23,0
2329,2.0,1.83,0.04,0.03,0.32,0
2330,0.6,0.55,0.05,0.96,0.1,0
2331,2.07,2.04,0.1,0.23,0.15,0
2332,1.65,1.56,0.04,0.05,0.04,0
2333,1.79,1.79,-0.05,-0.17,-0.03,0
2334,1.09,1.06,-0.08,-0.96,-0.05,0
2335,0.91,0.88,0.03,0.1,0.01,0
2336,2.01,1.82,0.01,-0.02,0.02,0
2337,1.78,0.16,0.01,0.01,0.02,0
2338,1.33,1.26,0.42,1.01,0.27,0
2339,1.74,1.11,0.02,0.02,0.06,0
2340,1.17,0.13,0.02,0.1,0.01,0
2341,4.07,3.84,0.03,0.02,0.02,0
2342,1.98,1.2,0.02,0.01,0.02,0
2343,0.38,0.38,0.17,0.36,0.33,0
2344,0.97,0.62,0.05,0.08,0.13,0
2345,0.94,0.26,-0.06,-1.54,-0.04,1
2346,1.47,1.34,0.1,0.46,0.1,0
2347,3.28,3.28,-0.28,-0.36,-0.05,1
2348,0.54,0.48,0.18,0.69,0.11,0
2349,1.91,1.91,0.02,0.02,0.11,0
2350,2.35,2.35,-0.13,-3.79,-0.04,0
2351,0.91,0.91,-0.03,-5.19,0.0,0
2352,1.98,1.97,0.07,0.8,0.09,0
2353,0.53,0.53,0.02,0.0,0.24,0
2354,1.11,1.11,0.03,0.03,0.04,1
2355,1.12,1.12,0.03,0.21,0.02,0
2356,0.43,0.27,-0.9,-1.02,-0.35,1
2357,1.16,0.93,0.0,0.03,0.0,0
2358,0.76,0.63,0.02,0.13,0.01,0
2359,1.32,1.18,0.07,0.11,0.04,0
2360,1.99,1.58,0.02,0.01,0.19,0
2361,0.34,0.29,0.01,-0.01,0.42,0
2362,0.51,0.47,-0.45,-1.17,-0.29,1
2363,1.64,0.99,0.09,0.18,0.07,0
2364,1.45,1.45,0.05,0.07,0.2,0
2365,1.22,1.21,-0.01,-0.06,0.0,0
2366,1.3,0.42,0.04,0.15,0.06,0
2367,2.37,0.4,0.05,0.02,0.08,0
2368,1.11,0.88,0.02,0.01,0.02,0
2369,0.53,0.53,-0.29,-3.49,-0.16,0
2370,1.36,0.71,0.0,-0.03,0.03,0
2371,1.17,1.03,0.03,-0.12,0.07,0
2372,2.15,1.24,0.0,0.0,0.0,0
2373,1.98,1.98,0.05,0.09,0.07,0
2374,1.12,0.98,0.02,0.05,0.04,0
2375,0.14,0.14,0.07,0.2,0.82,0
2376,1.92,1.75,0.01,0.01,0.04,0
2377,3.25,3.25,0.06,0.06,0.21,0
2378,1.27,0.87,0.05,0.06,0.11,0
2379,2.64,2.07,0.04,0.05,0.05,0
2380,1.26,1.24,0.05,-0.56,0.02,1
2381,2.51,2.51,0.04,0.05,0.06,0
2382,1.76,1.76,0.09,0.25,0.26,0
2383,0.63,0.24,-0.34,-0.79,-0.06,0
2384,1.07,0.83,0.04,0.09,0.02,0
2385,2.67,2.52,0.44,0.56,0.3,0
2386,1.07,0.49,0.03,0.26,0.06,0
2387,2.98,1.89,0.08,0.64,0.05,0
2388,0.29,0.29,0.13,0.14,0.7,0
2389,1.24,0.86,0.02,0.08,0.04,0
2390,1.96,0.2,0.02,0.06,0.03,0
2391,1.99,0.01,0.02,0.0,0.07,0
2392,0.89,0.84,-0.11,-6.58,-0.05,0
2393,1.14,0.77,0.05,0.23,0.05,0
2394,1.31,0.12,0.02,0.01,0.03,0
2395,1.86,1.86,0.2,0.58,0.25,0
2396,1.2,1.15,0.02,0.48,0.01,0
2397,0.85,0.74,-0.49,-3.73,-0.08,0
2398,1.59,1.14,0.03,0.01,0.13,0
2399,2.41,2.4,0.13,0.17,0.22,0
2400,1.43,0.31,0.0,-0.01,0.01,0
2401,1.02,1.02,0.03,0.15,0.1,0
2402,1.73,1.73,0.25,0.48,0.15,0
2403,1.7,0.94,0.06,0.16,0.04,0
2404,1.37,1.31,0.17,0.56,0.08,0
2405,0.71,0.46,-0.04,-0.13,0.01,0
2406,0.71,0.36,-0.24,-1.33,-0.14,1
2407,1.68,1.15,0.04,0.05,0.06,0
2408,0.63,0.61,-0.31,-1.06,-0.12,1
2409,1.46,0.9,-0.06,-1.69,-0.03,0
2410,2.04,1.83,0.12,0.16,0.07,0
2411,1.23,1.23,-0.01,-0.06,0.0,0
2412,1.21,1.21,0.02,0.06,0.03,0
2413,1.9,1.9,0.24,0.33,0.11,0
2414,1.55,0.77,0.07,0.15,0.08,0
2415,1.42,1.42,0.12,0.25,0.06,0
2416,1.78,1.21,0.06,0.17,0.06,0
2417,1.3,1.23,0.02,0.05,0.01,0
2418,0.84,0.82,-0.14,-0.64,-0.03,0
2419,1.1,1.1,0.01,0.13,0.01,0
2420,0.22,0.22,-0.2,-1.07,-0.56,1
2421,2.15,2.15,0.28,0.5,0.14,0
2422,0.95,0.73,0.03,0.06,0.02,0
2423,0.42,0.42,0.08,-0.02,0.14,1
2424,1.21,0.5,0.03,0.1,0.02,0
2425,0.67,0.56,0.03,-0.05,0.05,0
2426,0.94,0.14,0.06,-0.63,0.1,1
2427,0.97,0.96,0.1,0.67,0.07,0
2428,1.61,1.42,0.05,0.1,0.03,0
2429,1.26,1.26,0.11,0.63,0.09,0
2430,1.54,0.92,0.16,0.4,0.04,0
2431,0.97,0.97,0.02,0.04,0.09,0
2432,0.72,0.52,-0.2,-1.13,-0.12,0
2433,1.26,1.2,-0.11,-1.57,-0.06,0
2434,0.64,0.55,0.02,0.21,0.09,1
2435,2.99,2.76,0.17,0.17,0.14,0
2436,1.47,1.47,0.01,-0.02,0.02,0
2437,5.34,5.34,0.39,0.41,0.28,0
2438,0.54,0.54,0.02,0.07,0.15,0
2439,2.12,1.7,0.02,0.01,0.17,0
2440,0.84,0.81,0.02,0.01,0.15,0
2441,1.1,1.1,0.09,0.09,0.07,1
2442,2.02,0.71,-0.01,-0.7,-0.01,1
2443,1.25,0.81,0.05,0.28,0.02,0
2444,0.98,0.98,0.07,0.4,0.07,0
2445,2.39,2.39,0.25,0.6,0.05,0
2446,1.07,1.07,-0.02,-0.15,0.03,0
2447,2.2,1.4,0.02,0.01,0.01,0
2448,0.55,0.55,0.05,0.31,0.35,0
2449,2.92,2.69,0.08,0.1,0.17,0
2450,0.56,0.56,0.05,0.07,0.27,0
2451,2.31,2.2,0.14,0.33,0.15,0
2452,3.0,2.66,0.02,0.02,0.29,0
2453,2.12,1.51,0.02,0.02,0.02,0
2454,0.51,0.37,-0.18,-1.83,-0.13,1
2455,1.5,1.47,0.07,0.1,0.2,0
2456,0.8,0.68,0.02,0.06,0.06,0
2457,1.11,0.84,0.05,0.25,0.02,0
2458,1.69,1.09,0.03,0.06,0.04,0
2459,3.87,2.84,0.17,0.19,0.14,0
2460,1.37,1.37,0.03,-0.01,0.02,0
2461,0.55,0.54,0.03,-0.06,0.06,0
2462,1.2,0.84,0.04,-0.18,0.06,0
2463,1.46,1.46,0.07,0.27,0.04,0
2464,1.03,1.03,0.04,0.03,0.02,0
2465,1.21,0.95,0.01,-0.4,0.02,1
2466,2.68,1.08,0.02,0.01,0.07,0
2467,1.5,1.28,0.01,0.02,0.05,0
2468,1.02,1.0,0.08,0.5,0.04,0
2469,0.95,0.94,0.07,0.59,0.05,0
2470,1.1,1.1,0.04,0.05,0.44,0
2471,1.34,1.24,0.07,0.38,0.08,0
2472,1.16,1.16,0.05,0.02,0.05,1
2473,1.37,0.53,-0.14,-1.75,-0.05,0
2474,0.89,0.89,0.01,0.0,0.49,0
2475,0.68,0.47,0.04,0.07,0.11,0
2476,3.52,3.43,0.11,0.12,0.1,0
2477,1.06,0.79,0.03,0.04,0.12,0
2478,2.98,2.98,0.02,0.0,0.07,0
2479,1.14,1.14,0.02,0.02,0.03,0
2480,0.87,0.74,0.07,0.05,0.14,0
2481,2.31,2.31,0.17,0.21,0.23,0
2482,1.21,0.66,0.03,0.15,0.04,0
2483,2.88,2.85,0.1,0.14,0.19,0
2484,0.98,0.84,0.0,0.36,0.03,0
2485,1.21,0.89,-0.01,-0.04,-0.14,0
2486,0.95,0.95,0.1,0.11,0.09,0
2487,1.04,1.04,0.05,0.35,0.04,0
2488,0.2,0.05,-0.12,-1.53,0.54,0
2489,1.01,0.94,0.06,0.6,0.06,0
2490,4.23,1.04,0.03,0.03,0.06,0
2491,0.55,0.55,0.02,-0.15,0.05,1
2492,3.28,3.23,0.32,0.84,0.23,0
2493,0.35,0.34,0.0,-0.01,0.16,0
2494,1.36,1.01,0.06,0.16,0.06,0
2495,1.03,0.86,0.03,0.14,0.02,0
2496,2.85,2.23,0.05,0.03,0.18,0
2497,1.05,1.05,0.01,0.1,0.0,0
2498,1.01,0.99,0.05,-0.34,0.05,0
2499,0.32,0.23,-0.62,-0.8,-0.13,1
2500,1.09,1.0,0.05,0.07,0.03,0
2501,3.44,2.57,0.17,0.32,0.22,0
2502,1.23,0.94,0.04,0.06,0.07,0
2503,1.17,0.7,-0.02,-4.57,-0.03,1
2504,0.43,0.43,0.01,-0.22,0.07,0
2505,2.94,2.63,0.01,0.0,0.05,0
2506,0.86,0.55,-0.01,-0.21,0.12,1
2507,1.03,1.03,0.14,0.74,0.1,0
2508,0.62,0.59,0.02,0.09,0.06,0
2509,1.52,0.87,-0.05,-0.55,-0.03,0
2510,1.59,1.59,0.06,0.14,0.3,0
2511,2.85,2.75,0.01,0.0,0.04,0
2512,1.84,1.72,0.11,0.35,0.14,0
2513,1.16,1.11,0.05,0.12,0.03,0
2514,0.68,0.35,-0.61,-1.17,-0.37,1
2515,1.2,1.2,-1.25,0.02,-1.6,1
2516,1.09,0.84,0.04,0.62,0.02,0
2517,2.69,1.36,0.41,0.51,0.1,0
2518,1.19,1.19,0.05,0.12,0.22,0
2519,3.86,3.82,0.04,0.03,0.05,0
2520,0.71,0.53,-0.33,-0.67,-0.72,1
2521,1.11,0.3,0.01,0.05,0.07,0
2522,0.77,0.77,0.06,-1.27,0.04,0
2523,1.17,0.98,0.03,0.0,0.06,0
2524,0.97,0.96,0.01,0.23,0.02,0
2525,1.73,1.62,0.03,0.01,0.08,0
2526,2.16,2.16,0.08,0.17,0.24,0
2527,0.91,0.39,-0.06,-2.11,0.0,0
2528,1.56,0.38,0.01,-0.14,0.02,0
2529,1.1,1.0,0.08,0.05,0.08,0
2530,1.72,1.72,0.19,0.18,0.08,0
2531,2.34,0.43,0.01,0.0,0.05,0
2532,1.3,1.27,-0.03,-0.37,-0.03,0
2533,1.03,0.81,0.01,-0.01,0.22,0
2534,1.45,1.01,0.03,0.03,0.48,0
2535,0.93,0.93,-0.05,-0.51,0.0,0
2536,0.36,0.36,0.04,0.23,0.35,0
2537,1.23,0.57,0.04,0.18,0.04,0
2538,1.9,1.86,0.07,0.2,0.07,0
2539,0.82,0.68,-0.02,-0.18,0.02,0
2540,1.0,0.97,-0.04,0.51,-0.03,0
2541,1.34,0.4,0.13,0.18,0.1,0
2542,0.67,0.45,-0.43,-2.2,-0.2,1
2543,3.09,2.98,0.03,0.02,0.08,0
2544,1.16,0.47,0.03,0.12,0.07,0
2545,2.13,2.12,0.12,0.16,0.11,0
2546,1.43,0.87,0.02,0.03,0.0,0
2547,1.77,1.77,0.06,0.27,0.06,0
2548,0.18,0.18,0.02,0.03,0.76,0
2549,1.98,1.52,0.03,0.0,0.05,0
2550,0.31,0.21,-0.07,-0.57,0.0,0
2551,1.23,1.14,0.02,0.02,0.02,0
2552,2.66,2.66,0.08,0.11,0.18,0
2553,2.46,1.74,-0.14,-1.61,-0.07,0
2554,2.63,1.99,0.03,0.03,0.02,0
2555,1.51,1.05,0.08,0.14,0.07,0
2556,0.8,0.18,-0.36,-2.85,-0.2,1
2557,4.17,4.04,0.07,0.19,0.07,0
2558,0.63,0.63,0.12,-0.11,0.1,0
2559,1.37,1.33,0.01,0.01,0.12,0
2560,0.9,0.24,0.03,0.2,0.02,0
2561,1.9,1.9,0.04,0.09,0.11,0
2562,1.25,0.76,0.07,0.07,0.07,1
2563,1.37,0.52,0.03,0.04,0.02,0
2564,0.32,0.32,0.05,0.14,0.75,0
2565,6.82,1.26,0.0,0.0,0.06,0
2566,0.91,0.91,0.18,0.47,0.18,0
2567,3.16,3.15,0.33,0.73,0.27,0
2568,1.01,0.62,0.02,0.68,0.03,0
2569,1.49,1.19,-0.01,-0.04,0.01,0
2570,2.6,2.6,0.05,0.07,0.07,0
2571,0.91,0.18,0.01,-0.03,0.2,0
2572,1.22,1.22,0.1,0.55,0.15,0
2573,1.12,0.33,0.02,0.03,0.04,0
2574,1.14,1.14,0.02,0.0,0.13,0
2575,0.39,0.39,-0.15,-0.56,-0.47,1
2576,1.2,0.93,0.09,0.27,0.02,0
2577,1.24,1.02,-0.04,-0.33,-0.06,0
2578,0.99,0.99,0.05,0.5,0.14,0
2579,0.79,0.79,0.03,-0.42,0.03,0
2580,0.82,0.82,0.05,0.47,0.03,0
2581,5.4,0.35,0.06,0.03,0.22,1
2582,1.4,1.31,0.01,0.13,0.01,0
2583,10.06,9.1,0.39,0.39,0.32,0
2584,1.4,1.39,0.16,0.49,0.14,0
2585,1.21,0.99,-0.19,-2.67,-0.02,0
2586,0.52,0.52,0.0,0.0,0.56,0
2587,2.89,2.51,0.05,0.04,0.12,0
2588,1.03,0.84,0.0,0.03,0.0,0
2589,1.47,1.37,-0.02,-0.17,-0.02,1
2590,1.18,0.95,0.05,0.15,0.04,0
2591,0.94,0.94,-0.05,-0.11,-0.02,0
2592,0.42,0.31,0.02,0.02,0.02,0
2593,1.38,1.38,-0.01,-0.38,0.0,0
2594,1.95,1.95,0.07,0.09,0.14,0
2595,2.01,0.91,0.05,0.21,0.11,0
2596,2.2,1.63,0.29,0.33,0.22,0
2597,0.82,0.82,0.03,-0.2,0.05,1
2598,0.35,0.35,-0.6,-0.35,-0.58,1
2599,2.63,2.63,0.35,0.46,0.34,0
2600,3.49,3.48,0.42,0.63,0.35,0
2601,1.1,0.81,0.1,0.14,0.07,0
2602,1.42,1.36,0.02,0.01,0.09,0
2603,1.2,0.5,0.04,0.07,0.05,0
2604,0.78,0.78,-0.11,-1.1,-0.07,1
2605,2.63,2.63,0.07,0.1,0.15,0
2606,2.29,2.29,0.1,0.39,0.3,0
2607,2.22,1.15,0.01,0.01,0.06,0
2608,1.92,1.13,0.02,0.03,-0.01,0
2609,1.01,0.74,0.04,0.03,0.11,0
2610,1.35,1.25,0.05,0.06,0.14,1
2611,1.35,1.35,0.15,0.34,0.14,0
2612,0.4,0.4,-0.01,-1.14,0.03,0
2613,1.32,0.13,-0.05,-0.08,-0.52,1
2614,1.01,0.65,0.08,0.14,0.02,0
2615,1.24,1.23,0.03,0.11,0.04,0
2616,0.75,0.74,-0.23,-1.35,-0.3,1
2617,8.7,2.44,0.0,0.0,0.48,0
2618,0.98,0.94,0.04,-0.71,0.03,0
2619,1.96,1.89,0.24,0.53,0.16,0
2620,0.62,0.62,0.28,0.59,0.09,0
2621,0.94,0.29,0.01,0.01,0.04,0
2622,1.15,1.15,0.02,0.05,0.04,0
